Organization/Person Name,Number of Investments,Number of Exits,Region,Score
Fifty Years,148,6.0,US,160.0
Arsenal Growth Equity,44,14.0,US,72.0
SOFTBANK Latin America Ventures,54,6.0,US,66.0
JFF Ventures,31,1.0,US,33.0
DCM Ventures,643,138.0,US,919.0
Moderne Ventures,104,25.0,US,154.0
XRC Ventures,164,10.0,US,184.0
The Westly Group,101,23.0,US,147.0
Advancit Capital,162,40.0,US,242.0
Red Swan Ventures,88,37.0,US,162.0
The Blue Venture Fund,99,22.0,US,143.0
The Venture Collective,45,1.0,US,47.0
BAM Ventures,157,37.0,US,231.0
Serena Ventures,68,8.0,US,84.0
Tudor Investments,48,16.0,US,80.0
Artis Ventures (AV),127,30.0,US,187.0
Rho Capital Partners,115,43.0,US,201.0
Rhapsody Venture Partners,40,,US,
AME Cloud Ventures,309,80.0,US,469.0
Learn Capital,164,30.0,US,224.0
WiL (World Innovation Lab),155,21.0,US,197.0
Globevestor,31,4.0,US,39.0
Canaan Partners,799,167.0,US,1133.0
Xplorer Capital,39,10.0,US,59.0
Future Ventures,49,4.0,US,57.0
Nvidia Inception,37,1.0,US,39.0
LvlUp Ventures,32,1.0,US,34.0
Cottonwood Technology Fund,67,4.0,US,75.0
Allos Ventures,106,13.0,US,132.0
K Street Capital,84,7.0,US,98.0
Valar Ventures,170,21.0,US,212.0
MissionOG,67,16.0,US,99.0
Creative Ventures,60,4.0,US,68.0
Sopris Capital Associates,50,19.0,US,88.0
Redbud VC,30,1.0,US,32.0
Surface Ventures,42,3.0,US,48.0
TCG Crossover,54,31.0,US,116.0
OUP (Osage University Partners),216,58.0,US,332.0
Fuel Capital,144,30.0,US,204.0
Grishin Robotics,42,11.0,US,64.0
Geek Ventures,43,1.0,US,45.0
DARPA,42,8.0,US,58.0
ClearSky,83,33.0,US,149.0
Propel,60,12.0,US,84.0
Revolution Growth,62,14.0,US,90.0
L'ATTITUDE Ventures,31,3.0,US,37.0
Greycroft,812,139.0,US,1090.0
Buckley Ventures,48,3.0,US,54.0
Digital Sandbox KC,30,2.0,US,34.0
Luxor Capital Group,44,9.0,US,62.0
NightDragon,30,4.0,US,38.0
Ascend,80,6.0,US,92.0
Eventide,48,24.0,US,96.0
Unshackled Ventures,78,5.0,US,88.0
Heritage Group,54,18.0,US,90.0
Markd,30,,US,
Windham Venture Partners,60,11.0,US,82.0
Bain Capital Life Sciences,91,48.0,US,187.0
5AM Ventures,195,59.0,US,313.0
C2 Ventures,66,11.0,US,88.0
Salesforce,68,14.0,US,96.0
Montage Ventures,102,12.0,US,126.0
Burst Capital,38,3.0,US,44.0
Resolute Ventures,183,35.0,US,253.0
Missouri Technology Corporation,118,8.0,US,134.0
Brooklyn Bridge Ventures,118,21.0,US,160.0
Gold House Ventures,32,,US,
Primer Sazze Partners,117,3.0,US,123.0
Zero Prime Ventures,68,5.0,US,78.0
Nascent,50,,US,
August Capital,292,83.0,US,458.0
Alpaca VC,113,19.0,US,151.0
Decibel Partners,45,4.0,US,53.0
Presight Capital,96,13.0,US,122.0
Rand Capital,48,15.0,US,78.0
Rising Tide,70,15.0,US,100.0
Crosscut Ventures,159,26.0,US,211.0
25madison,54,3.0,US,60.0
NFX,403,36.0,US,475.0
The Venture Reality Fund/VRF,60,7.0,US,74.0
Drive Capital,139,20.0,US,179.0
TheVentureCity,134,8.0,US,150.0
WAGMI Ventures,60,1.0,US,62.0
Upekkha AI SaaS Accelerator,56,,US,
Tusk Venture Partners,74,9.0,US,92.0
Evolution Ventures,60,2.0,US,64.0
Beringea,176,34.0,US,244.0
Soros Fund Management,67,22.0,US,111.0
Root Ventures,92,5.0,US,102.0
Goldcrest Capital,50,4.0,US,58.0
Zeno Partners,52,3.0,US,58.0
Clear Ventures,72,25.0,US,122.0
MPM Capital,299,100.0,US,499.0
Wedbush Ventures,31,1.0,US,33.0
Silas Capital,45,6.0,US,57.0
Human Ventures,99,8.0,US,115.0
Providence Ventures,31,8.0,US,47.0
Fontinalis Partners,106,19.0,US,144.0
Guild Capital,31,9.0,US,49.0
HealthQuest Capital,48,14.0,US,76.0
Incisive Ventures,59,4.0,US,67.0
Arboretum Ventures,105,24.0,US,153.0
"Founders, Inc.",75,4.0,US,83.0
01 Advisors,53,1.0,US,55.0
Portfolia,132,14.0,US,160.0
Pivotal bioVenture Partners,35,18.0,US,71.0
Expansion Venture Capital,127,29.0,US,185.0
Mousse Partners,65,15.0,US,95.0
BIP Ventures,59,5.0,US,69.0
Reciprocal Ventures,54,5.0,US,64.0
Unpopular Ventures,408,9.0,US,426.0
Baird Capital,176,50.0,US,276.0
Riverside Acceleration Capital,45,3.0,US,51.0
FoundersX Ventures,55,5.0,US,65.0
Interplay,62,6.0,US,74.0
TechNexus Venture Collaborative,259,19.0,US,297.0
Group 11,64,6.0,US,76.0
Balance Point Capital Partners,53,19.0,US,91.0
Frist Cressey Ventures,48,8.0,US,64.0
Rocketship.vc,81,9.0,US,99.0
Energy Impact Partners,147,19.0,US,185.0
Groove Capital,98,3.0,US,104.0
Female Founders Fund,104,17.0,US,138.0
Day One Ventures,101,11.0,US,123.0
HearstLab,74,3.0,US,80.0
Chevron Technology Ventures,147,27.0,US,201.0
GoAhead Ventures,68,5.0,US,78.0
Avidity Partners,65,34.0,US,133.0
Riot Ventures,32,3.0,US,38.0
Watertower Ventures,44,9.0,US,62.0
Civilization Ventures,60,6.0,US,72.0
Red Sea Ventures,104,22.0,US,148.0
Mithril Capital Management,60,13.0,US,86.0
RiverPark Ventures,216,24.0,US,264.0
JetBlue Ventures,57,8.0,US,73.0
Evolution VC Partners,152,28.0,US,208.0
The Column Group,120,21.0,US,162.0
Greenoaks,141,9.0,US,159.0
Morpheus Ventures,47,6.0,US,59.0
Delta Blockchain Fund,60,2.0,US,64.0
Lorimer Ventures,68,2.0,US,72.0
Listen,49,10.0,US,69.0
Rebel Fund,154,6.0,US,166.0
G9 Ventures,32,1.0,US,34.0
Lincoln Park Capital Fund,32,29.0,US,90.0
Rough Draft Ventures,155,28.0,US,211.0
Blisce,42,8.0,US,58.0
Define Ventures,42,,US,
Corazon Capital,95,15.0,US,125.0
Unusual Ventures,130,13.0,US,156.0
Motley Fool Ventures,48,3.0,US,54.0
Powerhouse Ventures,44,4.0,US,52.0
Social Starts,441,75.0,US,591.0
Asymmetry Ventures,208,6.0,US,220.0
Amgen Ventures,117,36.0,US,189.0
MCJ,72,,US,
Sovereign’s Capital,79,9.0,US,97.0
Echo Health Ventures,53,4.0,US,61.0
UpWest,116,29.0,US,174.0
AperiamVentures,69,11.0,US,91.0
Castor Ventures,169,27.0,US,223.0
The Draper Richards Kaplan Foundation,196,29.0,US,254.0
Rose Park Advisors,67,7.0,US,81.0
Angeleno Group,36,10.0,US,56.0
Flyover Capital,56,7.0,US,70.0
ValueStream Ventures,60,14.0,US,88.0
Innovation Endeavors,254,47.0,US,348.0
Pappas Capital,32,9.0,US,50.0
BootstrapLabs,56,8.0,US,72.0
Starlight Ventures,50,5.0,US,60.0
Frontier Growth,58,32.0,US,122.0
f7 Ventures,35,3.0,US,41.0
Team Ignite Ventures,121,2.0,US,125.0
Ospraie Ag Sciences,31,5.0,US,41.0
Momentum 6,114,1.0,US,116.0
Flori Ventures,90,,US,
Sahsen Ventures,82,21.0,US,124.0
VoLo Earth Ventures,34,1.0,US,36.0
Social Impact Capital,47,2.0,US,51.0
Mercato Partners,46,14.0,US,74.0
New Stack Ventures,68,5.0,US,78.0
GGV Capital,487,49.0,US,585.0
Camber Creek,69,16.0,US,101.0
AV8 Ventures,50,3.0,US,56.0
Companyon Ventures,34,2.0,US,38.0
Cascade Seed Fund,61,8.0,US,77.0
Omega Venture Partners,33,10.0,US,53.0
Struck Capital,95,7.0,US,109.0
Shanda Group,35,3.0,US,41.0
Town Hall Ventures,43,2.0,US,47.0
Pantera Capital,253,22.0,US,297.0
Blumberg Capital,253,53.0,US,359.0
Matchstick Ventures,130,14.0,US,158.0
CSC Upshot,316,74.0,US,464.0
Vanterra Capital,34,6.0,US,46.0
Base Ventures,107,24.0,US,155.0
AAF Management Ltd.,132,22.0,US,176.0
Genblock Capital,120,,US,
SVB Capital,74,12.0,US,98.0
DRW Venture Capital,47,5.0,US,57.0
G20 Ventures,49,8.0,US,65.0
Preface Ventures,35,1.0,US,37.0
Grayhawk Capital,45,11.0,US,67.0
Calibrate Ventures,37,3.0,US,43.0
Evolution Equity Partners,71,15.0,US,101.0
iSeed Ventures,35,9.0,US,53.0
North Bridge Venture Partners & Growth Equity,422,113.0,US,648.0
Vast Ventures,91,33.0,US,157.0
Austin Ventures,392,120.0,US,632.0
Michigan Rise,123,2.0,US,127.0
Stout Street Capital,83,18.0,US,119.0
NEXT Frontier Capital,54,10.0,US,74.0
Advanced Technology Ventures,250,74.0,US,398.0
Sante Ventures,86,13.0,US,112.0
CoFound Partners,32,2.0,US,36.0
Next Level Ventures,31,3.0,US,37.0
American Family Ventures,77,10.0,US,97.0
TwentyTwo VC,47,2.0,US,51.0
Impact Engine,84,6.0,US,96.0
VantagePoint Capital Partners,273,96.0,US,465.0
Core Innovation Capital,96,17.0,US,130.0
Page One Ventures,60,3.0,US,66.0
Bracket Capital,42,13.0,US,68.0
One Planet Group,38,10.0,US,58.0
Osage Venture Partners,122,25.0,US,172.0
InterWest Partners,427,128.0,US,683.0
Heavybit,91,21.0,US,133.0
Aperture Venture Partners,61,25.0,US,111.0
Broadview Ventures,72,9.0,US,90.0
Rev1 Ventures,241,26.0,US,293.0
Weekend Fund,47,6.0,US,59.0
Peak 6,34,7.0,US,48.0
LionTree,82,22.0,US,126.0
ScOp Venture Capital,37,6.0,US,49.0
Rosecliff Ventures,72,9.0,US,90.0
Arrington XRP Capital,112,1.0,US,114.0
WI Harper Group,192,29.0,US,250.0
Harmony Partners,98,37.0,US,172.0
SeaX Ventures,32,,US,
Ride Ventures,35,5.0,US,45.0
Uncommon Denominator,30,8.0,US,46.0
Vulcan Capital,266,59.0,US,384.0
Avid Ventures,32,2.0,US,36.0
at.inc/,41,5.0,US,51.0
Valia Ventures,50,4.0,US,58.0
Spacecadet Ventures,79,5.0,US,89.0
Space Capital,77,6.0,US,89.0
TitletownTech,34,1.0,US,36.0
Dreamit Ventures,405,50.0,US,505.0
ICONIQ Capital,78,11.0,US,100.0
Martin Ventures,47,7.0,US,61.0
Noro-Moseley Partners,142,45.0,US,232.0
J. Hunt Holdings,164,22.0,US,208.0
Elysium Venture Capital,56,9.0,US,74.0
Mobius Venture Capital,149,45.0,US,239.0
January Ventures,41,1.0,US,43.0
Catalyst Investors,53,14.0,US,81.0
Illuminate Ventures,63,10.0,US,83.0
Sugar Capital,39,2.0,US,43.0
OVO Fund,45,5.0,US,55.0
Sandbox Industries,92,23.0,US,138.0
Morgenthaler Ventures,352,106.0,US,564.0
SeventySix Capital,54,9.0,US,72.0
Wonder Ventures,71,11.0,US,93.0
Material Impact,38,1.0,US,40.0
Amasia,91,10.0,US,111.0
Madrone Capital Partners,42,8.0,US,58.0
Commodore Capital,32,25.0,US,82.0
Lombardstreet Ventures,77,7.0,US,91.0
Geodesic Capital,65,11.0,US,87.0
Conversion Capital,63,15.0,US,93.0
McCarthy Capital,37,5.0,US,47.0
CapitalX,32,2.0,US,36.0
Vela Partners,39,3.0,US,45.0
Red Cedar Ventures,306,10.0,US,326.0
Blue Cloud Ventures,54,21.0,US,96.0
Differential Ventures,40,2.0,US,44.0
Zillionize,155,30.0,US,215.0
Altimeter Capital,105,28.0,US,161.0
Atreides Management,50,6.0,US,62.0
Capria Ventures,62,1.0,US,64.0
BBQ Capital,65,4.0,US,73.0
Lightstone Ventures,67,12.0,US,91.0
Silicon Badia,89,23.0,US,135.0
Sigma Partners,348,84.0,US,516.0
The Artemis Fund,34,2.0,US,38.0
Class 5 Global,36,2.0,US,40.0
Casa Verde Capital,38,3.0,US,44.0
Quest Venture Partners,107,22.0,US,151.0
Signia Venture Partners,117,28.0,US,173.0
1confirmation,46,1.0,US,48.0
Center for Innovative Technology,35,5.0,US,45.0
Verissimo Ventures,60,3.0,US,66.0
NewSchools Venture Fund,117,34.0,US,185.0
PROOF,90,20.0,US,130.0
Gutter Capital,45,4.0,US,53.0
Worklife,49,4.0,US,57.0
Bantam Group,167,36.0,US,239.0
AllegisCyber,123,32.0,US,187.0
Avalon Ventures,185,54.0,US,293.0
Innova Memphis,315,9.0,US,333.0
Golden Section,39,1.0,US,41.0
DFS Lab,40,3.0,US,46.0
Telegraph Hill Capital,67,12.0,US,91.0
NewView Capital,56,7.0,US,70.0
WP Global Partners,54,19.0,US,92.0
Colle Capital Partners,77,10.0,US,97.0
Yes VC,62,3.0,US,68.0
ff Venture Capital,374,34.0,US,442.0
Shangbay Capital,39,3.0,US,45.0
Hinge Capital,68,28.0,US,124.0
Banana Capital,55,4.0,US,63.0
PivotNorth Capital,63,11.0,US,85.0
Animal Capital,35,1.0,US,37.0
Energy Innovation Capital,48,5.0,US,58.0
RRE Ventures,601,131.0,US,863.0
Vida Ventures,58,17.0,US,92.0
Domain Associates,305,94.0,US,493.0
SpringRock Ventures,36,1.0,US,38.0
Eniac Ventures,317,64.0,US,445.0
Northgate Capital,120,49.0,US,218.0
Atento Capital,34,,US,
Olive Tree Capital,45,2.0,US,49.0
Active Capital,77,9.0,US,95.0
Flucas Ventures,97,3.0,US,103.0
Irving Investors,50,19.0,US,88.0
Schooner Capital,66,14.0,US,94.0
Canvas Ventures,104,15.0,US,134.0
Shea Ventures,70,25.0,US,120.0
Hi2 Venture Fund,40,1.0,US,42.0
JAM Fund,98,5.0,US,108.0
McKesson Ventures,50,12.0,US,74.0
Alloy Ventures,183,53.0,US,289.0
Dundee Venture Capital,90,13.0,US,116.0
PSL Ventures,53,2.0,US,57.0
VentureSouth,155,14.0,US,183.0
SemperVirens Venture Capital,51,1.0,US,53.0
Recharge Capital,56,9.0,US,74.0
WestSummit Capital,43,14.0,US,71.0
Advance Venture Partners,34,8.0,US,50.0
Green D Ventures,183,40.0,US,263.0
Flybridge,437,76.0,US,589.0
LDV Partners,36,4.0,US,44.0
MBX Capital,43,2.0,US,47.0
Backend Capital,54,3.0,US,60.0
Fuel Venture Capital,43,5.0,US,53.0
Genoa Ventures,35,4.0,US,43.0
Fika Ventures,97,6.0,US,109.0
DivcoWest,31,4.0,US,39.0
Lateral Frontiers,46,1.0,US,48.0
Acorn Pacific Ventures,30,3.0,US,36.0
Acre Venture Partners,44,1.0,US,46.0
Artiman Ventures,105,18.0,US,141.0
Arrowroot Capital Management,33,10.0,US,53.0
New Leaf Venture Partners,181,57.0,US,295.0
Placeholder,67,1.0,US,69.0
Knollwood Investment Advisory,45,4.0,US,53.0
Mohr Davidow Ventures,308,85.0,US,478.0
CAVU Consumer Partners,38,7.0,US,52.0
Ballast Point Ventures,46,8.0,US,62.0
Bienville Capital,74,11.0,US,96.0
Webb Investment Network,156,51.0,US,258.0
Asset Management Ventures (AMV),155,32.0,US,219.0
BIP Capital,73,15.0,US,103.0
Morningside Group,163,33.0,US,229.0
HLM Venture Partners,134,48.0,US,230.0
The Yield Lab,56,3.0,US,62.0
Plum Alley,41,3.0,US,47.0
Snowflake Ventures,41,4.0,US,49.0
Lemnos VC,52,9.0,US,70.0
European Innovation Council,1116,30.0,EU,1176.0
Innovate UK,1074,66.0,EU,1206.0
Crowdcube,1036,32.0,EU,1100.0
Global Founders Capital,992,93.0,EU,1178.0
HTGF | High-Tech Gruenderfonds,921,120.0,EU,1161.0
Hiventures,747,7.0,EU,761.0
Technology Development Fund,694,14.0,EU,722.0
Almi Invest,612,46.0,EU,704.0
Seedcamp,601,68.0,EU,737.0
Startup Wise Guys,593,10.0,EU,613.0
Partech,581,106.0,EU,793.0
Northstar Ventures,536,26.0,EU,588.0
Eight Roads Ventures,535,114.0,EU,763.0
Speedinvest,492,42.0,EU,576.0
3i Group,472,192.0,EU,856.0
Business Growth Fund,457,89.0,EU,635.0
HV Capital,454,90.0,EU,634.0
Entrepreneur First,448,32.0,EU,512.0
SoftBank Vision Fund,448,65.0,EU,578.0
Internet Initiatives Development Fund (IIDF),448,4.0,EU,456.0
Octopus Ventures,433,58.0,EU,549.0
Balderton Capital,427,83.0,EU,593.0
LocalGlobe,396,68.0,EU,532.0
Future Planet Capital,376,22.0,EU,420.0
Par Equity,371,16.0,EU,403.0
British International Investment,366,56.0,EU,478.0
Novo Holdings,360,97.0,EU,554.0
Sofinnova Partners,333,67.0,EU,467.0
Parkwalk Advisors,321,30.0,EU,381.0
Seedrs,318,22.0,EU,362.0
Tenity,316,9.0,EU,334.0
Eleven Ventures,315,6.0,EU,327.0
Portugal Ventures,315,30.0,EU,375.0
Picus Capital,307,14.0,EU,335.0
Northzone,306,48.0,EU,402.0
Ascension,293,23.0,EU,339.0
IP Group,288,31.0,EU,350.0
Earlybird Venture Capital,287,58.0,EU,403.0
Point Nine,284,42.0,EU,368.0
Amadeus Capital Partners,276,60.0,EU,396.0
Seventure Partners,275,67.0,EU,409.0
Vaekstfonden,260,38.0,EU,336.0
Novartis Venture Fund,258,72.0,EU,402.0
Creandum,256,39.0,EU,334.0
Anthemis,254,27.0,EU,308.0
Omnes Capital,251,92.0,EU,435.0
HBM Healthcare Investments,248,77.0,EU,402.0
b2venture,245,34.0,EU,313.0
Wellington Partners,244,60.0,EU,364.0
Bayern Kapital,241,28.0,EU,297.0
Rockstart,241,13.0,EU,267.0
Atomico,241,42.0,EU,325.0
IBB Ventures,240,38.0,EU,316.0
EIT Digital Accelerator,235,42.0,EU,319.0
Chalmers Ventures AB,234,13.0,EU,260.0
Verve Ventures,233,23.0,EU,279.0
Notion Capital,232,29.0,EU,290.0
Alven,227,37.0,EU,301.0
83North,227,34.0,EU,295.0
MMC Ventures,225,25.0,EU,275.0
Molten Ventures,220,50.0,EU,320.0
RTP Global,220,27.0,EU,274.0
Atlantic Labs,220,29.0,EU,278.0
Seed Capital,219,35.0,EU,289.0
360 Capital,218,44.0,EU,306.0
Target Global,216,24.0,EU,264.0
XAnge,216,37.0,EU,290.0
Cherry Ventures,215,18.0,EU,251.0
Ventech,213,49.0,EU,311.0
EIT InnoEnergy,211,5.0,EU,221.0
TA Ventures,209,44.0,EU,297.0
Project A Ventures,204,32.0,EU,268.0
Andera Partners,203,61.0,EU,325.0
EQT Ventures,203,20.0,EU,243.0
SICTIC,203,14.0,EU,231.0
Breakthrough Energy Ventures,201,5.0,EU,211.0
Innovation Capital,201,,EU,
Heartcore Capital,200,23.0,EU,246.0
Industrifonden,200,33.0,EU,266.0
Inveready,199,30.0,EU,259.0
Bethnal Green Ventures,198,3.0,EU,204.0
Elaia,197,40.0,EU,277.0
Aster,196,19.0,EU,234.0
Newfund,196,33.0,EU,262.0
Foresight Group,195,33.0,EU,261.0
Venrex,194,16.0,EU,226.0
Crédit Mutuel Equity,194,35.0,EU,264.0
Business Finland,192,14.0,EU,220.0
Salica,191,17.0,EU,225.0
Criteria Venture Tech,189,46.0,EU,281.0
KfW,188,49.0,EU,286.0
Gimv,188,60.0,EU,308.0
Oxford Capital,186,18.0,EU,222.0
Lakestar,184,27.0,EU,238.0
Abingworth,182,84.0,EU,350.0
APX,179,5.0,EU,189.0
Mangrove Capital Partners,175,27.0,EU,229.0
LAUNCHub Ventures,170,10.0,EU,190.0
Downing Ventures,170,20.0,EU,210.0
CDP Venture Capital,167,1.0,EU,169.0
Innovacom,167,44.0,EU,255.0
Binance Labs,165,,EU,
Lifeline Ventures,164,20.0,EU,204.0
Frontline Ventures,163,19.0,EU,201.0
Fuel Ventures,162,5.0,EU,172.0
Scottish Equity Partners,162,57.0,EU,276.0
Force Over Mass Capital,162,16.0,EU,194.0
Auriga Partners,162,40.0,EU,242.0
Act Venture Capital,162,58.0,EU,278.0
Cabiedes & Partners,160,23.0,EU,206.0
Firstminute Capital,159,9.0,EU,177.0
Techstart Ventures,159,7.0,EU,173.0
LVenture Group,159,6.0,EU,171.0
Nauta Capital,157,25.0,EU,207.0
Janus Henderson Investors,156,101.0,EU,358.0
GSR,155,1.0,EU,157.0
Rocket Internet,155,46.0,EU,247.0
redalpine,155,13.0,EU,181.0
Entrepreneur Venture,155,40.0,EU,235.0
Kinnevik,154,33.0,EU,220.0
7percent Ventures,154,12.0,EU,178.0
IQ Capital,153,17.0,EU,187.0
Inventure,153,19.0,EU,191.0
Oxford Science Enterprises,152,13.0,EU,178.0
Centre for the Development of Industrial Technology (CDTI),152,8.0,EU,168.0
Runa Capital,151,25.0,EU,201.0
Unilever Ventures,151,29.0,EU,209.0
Forbion Capital Partners,150,47.0,EU,244.0
Investor Growth Capital Limited,146,63.0,EU,272.0
Mercia Fund Managers,143,14.0,EU,171.0
Isai,142,24.0,EU,190.0
Pario Ventures,142,20.0,EU,182.0
Karista,141,31.0,EU,203.0
Seraphim Space,140,5.0,EU,150.0
IRIS,140,38.0,EU,216.0
M Ventures,139,15.0,EU,169.0
Kreos Capital,138,61.0,EU,260.0
TGFS - Technologiegründerfonds Sachsen,138,9.0,EU,156.0
Star Ventures,138,45.0,EU,228.0
Possible Ventures,137,1.0,EU,139.0
Swisscom Ventures,137,39.0,EU,215.0
PSV,136,26.0,EU,188.0
Serena,133,23.0,EU,179.0
Oxford Technology Management,133,20.0,EU,173.0
Seedstars,130,7.0,EU,144.0
Atlantic Bridge,129,32.0,EU,193.0
Hedosophia,128,20.0,EU,168.0
468 Capital,128,10.0,EU,148.0
Tiny VC,128,12.0,EU,152.0
Dawn Capital,127,21.0,EU,169.0
Tesi,127,19.0,EU,165.0
ZBS CAPITAL,127,,EU,
SGH CAPITAL,125,32.0,EU,189.0
Credo Ventures,124,14.0,EU,152.0
1kx,124,1.0,EU,126.0
Breega,123,13.0,EU,149.0
MH Ventures,122,1.0,EU,124.0
SyndicateRoom,122,7.0,EU,136.0
Cathay Capital,122,21.0,EU,164.0
Acton Capital,122,42.0,EU,206.0
Mountain Partners,122,32.0,EU,186.0
HealthCap,121,35.0,EU,191.0
Connect Ventures,121,18.0,EU,157.0
Wellcome Trust,120,38.0,EU,196.0
BOM,120,13.0,EU,146.0
Felix Capital,120,12.0,EU,144.0
PMV,119,20.0,EU,159.0
Uncorrelated Ventures,119,4.0,EU,127.0
AXA Venture Partners,118,17.0,EU,152.0
Hummingbird Ventures,118,11.0,EU,140.0
Episode 1,118,8.0,EU,134.0
GO CAPITAL,117,11.0,EU,139.0
UBS,116,29.0,EU,174.0
Kibo Ventures,116,19.0,EU,154.0
UK Innovation & Science Seed Fund,115,7.0,EU,129.0
Investinor,114,18.0,EU,150.0
QVentures,114,11.0,EU,136.0
Capnamic Ventures,113,16.0,EU,145.0
Social Tech Trust,113,3.0,EU,119.0
Playfair Capital,112,10.0,EU,132.0
Highland Europe,112,24.0,EU,160.0
Leblon Capital,111,9.0,EU,129.0
Katapult,111,4.0,EU,119.0
eCAPITAL ENTREPRENEURIAL PARTNERS,111,21.0,EU,153.0
Gilde Healthcare,111,39.0,EU,189.0
UVC Partners,111,9.0,EU,129.0
S.R.I.W.,111,15.0,EU,141.0
Lightrock,110,4.0,EU,118.0
Hoxton Ventures,110,15.0,EU,140.0
bmp Ventures,110,17.0,EU,144.0
Redstone.VC,109,8.0,EU,125.0
Investisseurs & Partenaires,109,9.0,EU,127.0
Target Partners,109,22.0,EU,153.0
Kurma Partners,108,12.0,EU,132.0
EQT,107,47.0,EU,201.0
BayBG Venture Capital,107,12.0,EU,131.0
Icebreaker.vc,106,4.0,EU,114.0
Capricorn Partners,105,29.0,EU,163.0
M Capital Partners,105,18.0,EU,141.0
Aglaé Ventures,104,3.0,EU,110.0
VentureFriends,104,6.0,EU,116.0
Delta Partners,104,25.0,EU,154.0
JamJar Investments,104,16.0,EU,136.0
Catapult Ventures,103,29.0,EU,161.0
Piton Capital,103,13.0,EU,129.0
VI Partners,103,20.0,EU,143.0
Midlands Engine Investment Fund,103,2.0,EU,107.0
Starquest Capital,103,8.0,EU,119.0
University of Cambridge Enterprise,103,4.0,EU,111.0
La Famiglia,103,9.0,EU,121.0
Praetura Ventures,101,4.0,EU,109.0
Founders Future,101,2.0,EU,105.0
TVM Capital,101,33.0,EU,167.0
TMT Investments,101,16.0,EU,133.0
The North West Fund,101,10.0,EU,121.0
AA Sons,100,10.0,EU,120.0
24 Haymarket,99,11.0,EU,121.0
Fabric Ventures,99,2.0,EU,103.0
Kennet Partners,98,44.0,EU,186.0
Worth Capital,98,2.0,EU,102.0
Pi Labs,97,9.0,EU,115.0
Alma Mundi Ventures,97,8.0,EU,113.0
Forward Partners,97,16.0,EU,129.0
Alpana Ventures,97,9.0,EU,115.0
Mercia Asset Management,97,16.0,EU,129.0
Practica Capital,96,3.0,EU,102.0
Finorpa,96,9.0,EU,114.0
P101,95,16.0,EU,127.0
JME Ventures,95,8.0,EU,111.0
ICF Capital,95,9.0,EU,113.0
Hasso Plattner Ventures,95,23.0,EU,141.0
Aslanoba Capital,94,14.0,EU,122.0
coparion,94,11.0,EU,116.0
Daphni,93,6.0,EU,105.0
K Fund,93,8.0,EU,109.0
Angels Capital,93,3.0,EU,99.0
Draper B1,93,1.0,EU,95.0
Metaplanet,92,3.0,EU,98.0
Kindred Capital,92,8.0,EU,108.0
Pontaq,92,,EU,
Creathor Ventures,92,22.0,EU,136.0
Calm/Storm Ventures,91,2.0,EU,95.0
Crane Venture Partners,91,5.0,EU,101.0
10x Group,91,14.0,EU,119.0
VNV Global,91,12.0,EU,115.0
Crédit Mutuel Innovation,91,26.0,EU,143.0
Advent Venture Partners,91,34.0,EU,159.0
HOWZAT Partners,91,16.0,EU,123.0
Cavalry Ventures,90,4.0,EU,98.0
