Organization/Person Name,Number of Investments,Number of Exits
StepStone Group,82,9
Techstars,6149,508
IndieBio,529,6
Coinbase,34,2
Khosla Ventures,1249,170
Alumni Ventures,1871,164
Thrive Capital,351,73
500 Global,3155,383
Pfizer,51,19
Mission BioCapital,73,18
BlockTower Capital,53,1
General Atlantic,469,155
BoxGroup,689,123
Hack VC,197,13
F-Prime Capital,471,93
Propel(X),92,7
AbbVie,74,15
Alexandria Venture Investments,270,52
Elemental Impact,197,27
Plug and Play,1929,181
RA Capital Management,432,193
B Capital,231,18
Point72 Ventures,195,25
MRL Ventures Fund,47,13
Benhamou Global Ventures,111,21
Wellington Management,265,125
Norwest Venture Partners,945,209
Andreessen Horowitz,1621,236
Headline,496,77
Ripple,38,3
International Finance Corporation,558,143
EXPERT DOJO,298,4
Lowercarbon Capital,141,1
Accel,2128,388
Republic,73,2
Avalanche,31,
Autotech Ventures,73,12
Bessemer Venture Partners,1433,310
Craft Ventures,308,24
General Catalyst,1381,206
Nexus Venture Partners,373,52
Science,64,11
Biogen,30,18
Orange DAO,218,3
Pear VC,387,29
Polychain,267,6
Gaingels,846,57
Sequoia Capital,2059,409
Digital Currency Group,338,43
Lightspeed Venture Partners,1439,245
SixThirty,178,27
Adjacent,37,2
Trousdale Ventures,84,1
Sapphire Ventures,345,97
Flourish Ventures,155,11
Arca,45,2
Endeavor,46,2
Menlo Ventures,801,181
Hamilton Lane,58,11
Bristol-Myers Squibb,96,17
TEDCO,227,20
Forerunner,253,39
Quona Capital,157,5
8VC,522,42
Fin Capital,129,9
BITKRAFT Ventures,184,9
Sutter Hill Ventures,327,103
Toyota Ventures,115,6
gener8tor,270,15
Invest Nebraska,227,11
M12 - Microsoft's Venture Fund,305,39
Abstract Ventures,279,22
Betaworks,232,72
Sands Capital Ventures,174,42
ARCH Venture Partners,495,109
Union Square Ventures,462,61
Floodgate,381,101
Bond,96,5
Notable Capital,446,92
ICONIQ Growth,227,36
Borderless Capital,136,
Uncork Capital,427,110
Wefunder,43,3
S2G Ventures,167,6
Triangle Tweener Fund,170,2
Ridge Ventures,196,60
Ballistic Ventures,54,4
Boston Scientific,51,18
Bonfire Ventures,160,43
Invesco,99,42
Alpha Wave Global,128,15
Third Prime,126,8
UpHonest Capital,277,31
Google Ventures,1154,255
Bling Capital,139,7
IAG Capital Partners,47,2
Launch NY,174,4
Goodwater Capital,770,24
Paladin Capital Group,176,50
Primary Venture Partners,183,31
New Enterprise Associates,2212,605
Goldman Sachs,1073,403
LAUNCH,555,54
Oregon Venture Fund,77,21
Oak HC/FT,148,23
1Up Ventures,54,
Redbeard Ventures,43,3
S3 Ventures,105,22
BioAdvance,196,20
Connecticut Innovations,323,52
Samsung NEXT,349,39
Spark Capital,579,105
Ceras Ventures,31,
Human Capital,122,7
Visa,115,28
Founder Collective,506,149
Mana Ventures,89,3
6th Man Ventures,130,2
Big Idea Ventures,139,6
KdT Ventures,74,3
Madrona,520,105
Fusion Fund,113,10
nvp capital,143,17
FirstMark,380,58
Sofinnova Investments,303,119
CMT Digital,148,4
Framework Ventures,127,
Hashed,235,5
Draper Associates,398,64
Franklin Templeton,211,66
Newchip Accelerator,1293,11
QED Investors,348,40
Index Ventures,1177,255
Village Capital,357,23
Volition Capital,80,21
Founders Fund,923,153
Zeev Ventures,105,8
mHUB,45,
Tiger Global Management,1189,155
Base10 Partners,120,4
TQ Ventures,125,11
Ecosystem Integrity Fund,53,6
RevRoad,56,
SaaS Ventures,116,11
IVP,393,132
City Light Capital,194,20
Tapestry VC,64,5
CRV,696,166
New Markets Venture Partners,53,15
Amplo,66,2
Samsara BioCapital,144,63
Blue Bear Capital,62,4
Pareto Holdings,493,45
Ten Eleven Ventures,84,18
Celesta Capital,173,17
Paradigm,117,6
Kleiner Perkins,1430,338
Ryze Labs,53,1
SAV (Scale Asia Ventures),53,5
Construct Capital,40,
Five Elms Capital,85,19
RPM Ventures,92,21
Quiet Capital,361,28
1984 Ventures,111,5
Biotechnology Value Fund,155,84
Dragoneer Investment Group,184,49
AgFunder,131,6
Branded Strategic Hospitality,38,5
Caffeinated Capital,183,12
Benchmark,696,193
Unlock Venture Partners,79,6
Almaz Capital,97,19
Reach Capital,142,18
Contrary,86,4
CincyTech,147,21
Frazier Life Sciences,37,20
Ben Franklin Technology Partners of Southeastern Pennsylvania,230,42
Zetta Venture Partners,98,12
Emergence,234,51
Fifth Wall,173,14
Bain Capital Ventures,667,136
Galaxy Interactive,122,6
Venrock Healthcare Capital Partners,72,49
FJ Labs,1497,98
Mayfield Fund,686,196
Right Side Capital Management,1378,207
BlueRun Ventures,215,41
Apple Tree Partners,62,16
SOSV,2816,78
Bee Partners,126,17
BLH Venture Partners,60,8
Mercury,117,16
MGV,49,5
Icon Ventures,199,68
Origin Ventures,120,19
Slow Ventures,573,135
M25,173,22
Wavemaker 360,73,4
Trucks Venture Capital,72,7
Robot Ventures,124,2
Glasswing Ventures,68,9
Sixth Street,71,22
Blockchain Capital,175,14
Good Growth Capital,100,2
Neo,114,5
Felicis,657,165
Catalio Capital Management,79,15
Capital One Ventures,116,23
Vertex Ventures US,63,12
Evergreen Climate Innovations,45,5
MicroVentures,37,9
UP Partners,30,
One Way Ventures,97,9
Symbolic Capital,32,
Keiretsu Capital,278,17
Citi Ventures,231,43
Next Coast Ventures,103,11
Type One Ventures,35,1
Rockefeller Foundation,34,1
Bankless Ventures,40,
500 Emerging Europe,59,5
Zigg Capital,52,2
Vivo Capital,220,107
Defy.vc,100,10
Inspired Capital Partners,73,3
GFR Fund,72,5
Airbus Ventures,91,9
Everywhere Ventures,358,13
NGP Capital,176,50
Karman Ventures (fka Moving Capital),179,11
Correlation Ventures,396,82
Nomad Capital,30,
Polaris Partners,736,193
Redwood Ventures,41,2
Nyca Partners,158,17
Dragonfly,153,5
Exact Sciences,49,1
Scrum Ventures,104,15
Redpoint,773,169
Blu Venture Investors,103,9
Tau Ventures,64,4
TMV,62,8
Clean Energy Ventures,55,
Better Ventures,83,7
a16z crypto,124,
Will Ventures,37,
dao5,50,
Closed Loop Partners,37,1
Optum Ventures,87,10
Anzu Partners,73,5
XYZ Venture Capital,102,1
CapitalG,125,28
Sierra Ventures,419,93
WestCap,61,4
ParaFi Capital,120,2
TTV Capital,147,20
Thomvest Ventures,134,32
Capital Factory,214,30
M13,157,26
Silversmith Capital Partners,53,13
Third Rock Ventures,141,40
Finaventures,41,12
Curql,39,
SV Health Investors,314,92
The Helm,30,1
Blue Collective,78,20
What If Ventures,86,5
GingerBread Capital,55,7
SV Angel,1445,465
H20 Capital,53,1
Rock Health Capital,110,23
K5 Global,184,10
Soma Capital,526,46
SpringTime Ventures,49,2
Chapter One Ventures,64,5
Village Global,359,19
Canapi Ventures,42,2
7wire Ventures,72,4
HighSage Ventures,35,2
Kaleo Ventures,48,
Castle Island Ventures,96,3
Lerer Hippeau,655,167
Stage 2 Capital,69,4
Kapor Capital,280,60
Palm Drive Capital,112,17
AlleyCorp,132,11
Lightbank,200,44
Basis Set Ventures,84,6
Access Ventures,60,2
South Park Commons,120,7
Big Brain Holdings,147,
Branded Hospitality Ventures,42,5
Electric Capital,106,3
645 Ventures,113,22
Venrock,818,277
Freestyle Capital,216,47
Elevar Equity,79,8
Wayfinder Ventures,56,3
Las Olas Venture Capital,50,2
U.S. Venture Partners,579,158
Hyde Park Venture Partners,177,42
Work-Bench,71,14
Safar Partners,65,3
Eclipse Ventures,170,18
Emerson Collective,138,21
1517 Fund,109,7
Versant Ventures,379,109
Acrew Capital,131,5
Obvious Ventures,165,17
SR One,194,59
Innospark Ventures,51,3
Third Point Ventures,105,31
Mighty Capital,31,7
Lux Capital,511,59
Flex Capital,34,2
Cultivation Capital,227,36
Fenway Summer Ventures,66,8
CircleUp,96,13
Side Door Ventures,52,2
Rally Ventures,136,26
J2 Ventures,31,
Long Journey Ventures,80,7
Tribe Capital,231,9
Rockies Venture Club,77,8
Bain Capital,144,64
Dorm Room Fund,212,28
Battery Ventures,860,216
SineWave Ventures,36,5
RET Ventures,55,4
Oceans,58,3
Climate Pledge Fund,44,1
Jefferies,43,15
Wing Venture Capital,183,24
Social Discovery Group,34,5
Variant,54,1
JAM FINTOP,31,4
Amino Capital,160,20
Rethink Impact,56,5
Revolution,264,72
Florida Funders,120,5
StartUp Health,390,33
AF Ventures,42,4
Fledge,89,
Network.VC,58,5
Two Sigma Ventures,210,24
Soleus Capital,62,32
focal,40,1
URBAN-X,87,6
Future Africa,74,1
Avenir,51,5
Digitalis Ventures,75,3
AllianceBernstein,51,23
Makers Fund,118,13
Upward,31,1
Garage Capital,93,2
Builders VC,86,10
WestWave Capital,87,15
Golub Capital,41,17
Folius Ventures,57,1
LDV Capital,49,9
Peterson Ventures,240,25
Maven Ventures,96,14
Altira Group,39,10
Archetype,53,2
Berkeley SkyDeck Fund,125,4
Joyance Partners,86,7
Pangaea Ventures,66,5
Afore Capital,177,10
Synetro Group,48,3
Swift Ventures,38,1
Titanium Ventures,131,35
iSelect Fund,79,6
Congruent Ventures,116,4
GTMfund,118,5
Susquehanna International Group (SIG),140,13
Texas HALO Fund,89,3
Ludlow Ventures,166,32
Switch Ventures,65,16
HealthX Ventures,43,4
Able Partners,71,8
Greylock,883,268
Harpoon,31,5
Boost VC,315,34
YL Ventures,62,13
Company Ventures,88,9
HOF Capital,110,6
True Ventures,727,118
Decheng Capital,91,24
Longitude Capital,124,39
Adapt Ventures,48,4
Tech Square Ventures,124,5
Cota Capital,198,32
BDev Ventures,43,2
Grand Ventures,38,3
Initialized Capital,532,101
Underscore VC,87,11
GreatPoint Ventures,117,8
IGNIA,76,7
137 Ventures,40,17
DNX Ventures,262,34
The MBA Fund,67,6
IA Capital Group,82,21
Logos Capital,125,74
HPA (Hyde Park Angels),147,25
Umami Capital,37,1
Western Technology Investment,404,142
Bullish,69,12
BioGenerator,79,8
Rock Springs Capital,149,97
Compound,226,59
American Express Ventures,173,40
Moxxie Ventures,43,2
RSE Ventures,42,15
Navitas Capital,73,10
Kindred Ventures,114,9
Xfund,69,10
Koch Disruptive Technologies,72,4
Refactor,90,10
Sequoia Scout,45,5
FM Capital,41,6
MaC Venture Capital,239,20
Sway Ventures,84,23
Breakout Ventures,34,2
Hatteras Venture Partners,116,25
Scale Venture Partners,311,81
Susa Ventures,248,27
Chingona Ventures,46,4
Advantage Capital,1132,123
Race Capital,42,1
Kraken Ventures,51,
Ribbit Capital,234,21
Flare Capital Partners,84,12
Redmile Group,181,93
Upfront Ventures,414,81
Munich Re Ventures,84,6
MassVentures,435,79
Ground Up Ventures,45,4
DCVC,512,106
Second Century Ventures,213,25
Glade Brook Capital Partners,45,15
Fusion,74,5
Graph Ventures,163,29
ACME Capital,197,63
Konvoy,53,3
SciFi VC,64,3
Cathay Innovation,134,12
TCG,119,25
Forgepoint Capital,68,16
gumi Cryptos Capital (gCC),84,
Service Provider Capital,224,57
Hike Ventures,43,2
Sageview Capital,48,13
Gradient,244,26
Atlas Venture,611,188
Better Capital,163,6
Arthur Ventures,86,16
Acumen,135,4
Cervin Ventures,84,14
Prelude Ventures,148,14
LiveOak Ventures,120,17
Casdin Capital,228,74
Moneta Ventures,48,4
Alzheimer's Drug Discovery Foundation,47,8
Jump Capital,164,35
Blackhorn Ventures,91,7
Aliment Capital,39,4
Script Capital,51,9
Shrug Capital,99,9
Hyphen Capital,79,4
Route 66 Ventures,82,15
G Squared,104,32
Kickstart,237,32
Strong Ventures,300,6
Breyer Capital,170,15
Transcend Fund,33,2
TruStage Ventures,36,4
Wireframe Ventures,47,2
VMG Partners,50,7
Foundry Group,361,82
Green Sands Equity,33,8
Necessary Ventures,36,3
Agent Capital,47,11
boldstart ventures,200,31
Precursor Ventures,433,43
LEAD,39,1
Sorenson Capital,87,27
Section 32,121,21
Neotribe Ventures,71,8
Northpond Ventures,119,16
K1 Investment Management,71,23
9Yards Capital,106,8
Left Lane Capital,101,3
Tekton Ventures,117,19
Threshold,155,20
Maverick Ventures,193,39
Converge,46,10
At One Ventures,51,
Tuesday Capital,315,102
Amity Ventures,48,5
EcoR1 Capital,124,76
Mucker Capital,276,19
Engineering Capital,72,9
SNZ Holding,94,1
PeakSpan Capital,54,8
G2 Venture Partners,46,5
Scout Ventures,121,27
Highland Capital Partners,503,149
Tola Capital,69,16
Manhattan Venture Partners (MVP),66,23
Jackson Square Ventures,94,18
Primitive Ventures,30,
Carya Venture Partners,30,
TDF Ventures,114,28
Activant Capital,74,9
Cross Creek,79,43
Counterview Capital,39,10
The Engine,76,1
Collaborative Fund,338,59
Allen & Company,178,68
Contour Venture Partners,182,28
FinTech Collective,127,12
Moment Ventures,49,10
Inflection.xyz,38,
Longwood Fund,62,16
Homebrew,207,41
Springbank Collective,36,3
Industry Ventures,197,40
DeepWork Capital,73,6
Altos Ventures,361,43
The Argentum Group,46,16
Golden Seeds,115,14
Firestreak Ventures,49,
Firsthand.vc,48,
Progression Fund,38,3
Link Ventures,48,5
Equal Ventures,31,
Accion Venture Lab,109,8
FUSE,41,1
Inventus Capital Partners,57,16
Perot Jain,43,4
Activate Capital Partners,33,4
Brick & Mortar Ventures,79,13
Max Ventures,93,15
Brand Foundry Ventures,85,6
Renegade Partners,31,1
Recursive Ventures,47,10
Poseidon Asset Management,43,7
Volt Capital,44,
Flying Fish Partners,59,4
Maveron,303,76
Anorak Ventures,96,7
Acequia Capital (AceCap),470,53
Solana Ventures,90,2
Mango Capital,89,9
Haystack,205,37
Collab+Currency,81,2
SVG Ventures,215,10
The House Fund,92,14
Alta Partners,276,86
Walden International,288,64
Alpha Edison,102,9
Hypersphere Ventures,91,1
Commerce Ventures,190,19
FinSight Ventures,52,14
Wave Digital Assets,90,3
Waterfall Asset Management,31,6
Liquid 2 Ventures,912,75
Grotech Ventures,207,51
Silverton Partners,203,38
Torch Capital,78,4
Bowery Capital,95,15
I2BF Global Ventures,128,13
VU Venture Partners,78,3
Shasta Ventures,429,95
.406 Ventures,197,34
Addition,122,8
Costanoa Ventures,205,23
Playground Global,116,16
MANTIS Venture Capital,78,5
ANIMO Ventures,85,2
Foundation Capital,753,176
EnerTech Capital,76,20
Sozo Ventures,61,11
Climate Capital,95,
Signal Peak Ventures,80,17
Green Visor Capital,58,11
FINTOP Capital,62,10
Asymmetric Capital Partners,49,3
Plus Capital,41,10
Operator Partners,154,11
J-Ventures,53,6
Pillar VC,119,13
Omega Funds,142,66
Thayer Ventures,59,8
Blizzard Fund,56,2
Florida Opportunity Fund,66,9
Translink Capital,161,30
SE Ventures,39,4
DHVC,204,36
Toba Capital,125,29
Sputnik ATX,117,2
Trinity Ventures,471,149
EPIC Ventures,200,43
TRAC,80,5
KB Partners,68,11
Album VC,108,16
Firebolt Ventures,80,11
Endeavor Catalyst,355,44
Slauson & Co.,32,2
Trident Capital,217,78
Revelation Partners,48,11
Great Oaks Venture Capital,474,111
Bold Capital Partners,106,5
CMS Holdings,144,2
Raine Ventures,84,16
ATX Venture Partners,107,9
Bolt,107,15
Primetime Partners,38,
(ERA) Entrepreneurs Roundtable Accelerator,395,35
Tribeca Venture Partners,127,17
Third Sphere,135,10
Trajectory Ventures,113,8
Second Avenue Partners,55,7
Augment Ventures,40,5
VITALIZE Venture Capital,58,4
DFJ Growth,140,35
Ignition Partners,315,94
First Star Ventures,53,9
J Ventures,45,5
Raptor Group,73,7
Fifty Years,148,6
Arsenal Growth Equity,44,14
SOFTBANK Latin America Ventures,54,6
JFF Ventures,31,1
DCM Ventures,643,138
Moderne Ventures,104,25
XRC Ventures,164,10
The Westly Group,101,23
Advancit Capital,162,40
Red Swan Ventures,88,37
The Blue Venture Fund,99,22
The Venture Collective,45,1
BAM Ventures,157,37
Serena Ventures,68,8
Tudor Investments,48,16
Artis Ventures (AV),127,30
Rho Capital Partners,115,43
Rhapsody Venture Partners,40,
AME Cloud Ventures,309,80
Learn Capital,164,30
WiL (World Innovation Lab),155,21
Globevestor,31,4
Canaan Partners,799,167
Xplorer Capital,39,10
Future Ventures,49,4
Nvidia Inception,37,1
LvlUp Ventures,32,1
Cottonwood Technology Fund,67,4
Allos Ventures,106,13
K Street Capital,84,7
Valar Ventures,170,21
MissionOG,67,16
Creative Ventures,60,4
Sopris Capital Associates,50,19
Redbud VC,30,1
Surface Ventures,42,3
TCG Crossover,54,31
OUP (Osage University Partners),216,58
Fuel Capital,144,30
Grishin Robotics,42,11
Geek Ventures,43,1
DARPA,42,8
ClearSky,83,33
Propel,60,12
Revolution Growth,62,14
L'ATTITUDE Ventures,31,3
Greycroft,812,139
Buckley Ventures,48,3
Digital Sandbox KC,30,2
Luxor Capital Group,44,9
NightDragon,30,4
Ascend,80,6
Eventide,48,24
Unshackled Ventures,78,5
Heritage Group,54,18
Markd,30,
Windham Venture Partners,60,11
Bain Capital Life Sciences,91,48
5AM Ventures,195,59
C2 Ventures,66,11
Salesforce,68,14
Montage Ventures,102,12
Burst Capital,38,3
Resolute Ventures,183,35
Missouri Technology Corporation,118,8
Brooklyn Bridge Ventures,118,21
Gold House Ventures,32,
Primer Sazze Partners,117,3
Zero Prime Ventures,68,5
Nascent,50,
August Capital,292,83
Alpaca VC,113,19
Decibel Partners,45,4
Presight Capital,96,13
Rand Capital,48,15
Rising Tide,70,15
Crosscut Ventures,159,26
25madison,54,3
NFX,403,36
The Venture Reality Fund/VRF,60,7
Drive Capital,139,20
TheVentureCity,134,8
WAGMI Ventures,60,1
Upekkha AI SaaS Accelerator,56,
Tusk Venture Partners,74,9
Evolution Ventures,60,2
Beringea,176,34
Soros Fund Management,67,22
Root Ventures,92,5
Goldcrest Capital,50,4
Zeno Partners,52,3
Clear Ventures,72,25
MPM Capital,299,100
Wedbush Ventures,31,1
Silas Capital,45,6
Human Ventures,99,8
Providence Ventures,31,8
Fontinalis Partners,106,19
Guild Capital,31,9
HealthQuest Capital,48,14
Incisive Ventures,59,4
Arboretum Ventures,105,24
"Founders, Inc.",75,4
01 Advisors,53,1
Portfolia,132,14
Pivotal bioVenture Partners,35,18
Expansion Venture Capital,127,29
Mousse Partners,65,15
BIP Ventures,59,5
Reciprocal Ventures,54,5
Unpopular Ventures,408,9
Baird Capital,176,50
Riverside Acceleration Capital,45,3
FoundersX Ventures,55,5
Interplay,62,6
TechNexus Venture Collaborative,259,19
Group 11,64,6
Balance Point Capital Partners,53,19
Frist Cressey Ventures,48,8
Rocketship.vc,81,9
Energy Impact Partners,147,19
Groove Capital,98,3
Female Founders Fund,104,17
Day One Ventures,101,11
HearstLab,74,3
Chevron Technology Ventures,147,27
GoAhead Ventures,68,5
Avidity Partners,65,34
Riot Ventures,32,3
Watertower Ventures,44,9
Civilization Ventures,60,6
Red Sea Ventures,104,22
Mithril Capital Management,60,13
RiverPark Ventures,216,24
JetBlue Ventures,57,8
Evolution VC Partners,152,28
The Column Group,120,21
Greenoaks,141,9
Morpheus Ventures,47,6
Delta Blockchain Fund,60,2
Lorimer Ventures,68,2
Listen,49,10
Rebel Fund,154,6
G9 Ventures,32,1
Lincoln Park Capital Fund,32,29
Rough Draft Ventures,155,28
Blisce,42,8
Define Ventures,42,
Corazon Capital,95,15
Unusual Ventures,130,13
Motley Fool Ventures,48,3
Powerhouse Ventures,44,4
Social Starts,441,75
Asymmetry Ventures,208,6
Amgen Ventures,117,36
MCJ,72,
Sovereignâ€™s Capital,79,9
Echo Health Ventures,53,4
UpWest,116,29
AperiamVentures,69,11
Castor Ventures,169,27
The Draper Richards Kaplan Foundation,196,29
Rose Park Advisors,67,7
Angeleno Group,36,10
Flyover Capital,56,7
ValueStream Ventures,60,14
Innovation Endeavors,254,47
Pappas Capital,32,9
BootstrapLabs,56,8
Starlight Ventures,50,5
Frontier Growth,58,32
f7 Ventures,35,3
Team Ignite Ventures,121,2
Ospraie Ag Sciences,31,5
Momentum 6,114,1
Flori Ventures,90,
Sahsen Ventures,82,21
VoLo Earth Ventures,34,1
Social Impact Capital,47,2
Mercato Partners,46,14
New Stack Ventures,68,5
GGV Capital,487,49
Camber Creek,69,16
AV8 Ventures,50,3
Companyon Ventures,34,2
Cascade Seed Fund,61,8
Omega Venture Partners,33,10
Struck Capital,95,7
Shanda Group,35,3
Town Hall Ventures,43,2
Pantera Capital,253,22
Blumberg Capital,253,53
Matchstick Ventures,130,14
CSC Upshot,316,74
Vanterra Capital,34,6
Base Ventures,107,24
AAF Management Ltd.,132,22
Genblock Capital,120,
SVB Capital,74,12
DRW Venture Capital,47,5
G20 Ventures,49,8
Preface Ventures,35,1
Grayhawk Capital,45,11
Calibrate Ventures,37,3
Evolution Equity Partners,71,15
iSeed Ventures,35,9
North Bridge Venture Partners & Growth Equity,422,113
Vast Ventures,91,33
Austin Ventures,392,120
Michigan Rise,123,2
Stout Street Capital,83,18
NEXT Frontier Capital,54,10
Advanced Technology Ventures,250,74
Sante Ventures,86,13
CoFound Partners,32,2
Next Level Ventures,31,3
American Family Ventures,77,10
TwentyTwo VC,47,2
Impact Engine,84,6
VantagePoint Capital Partners,273,96
Core Innovation Capital,96,17
Page One Ventures,60,3
Bracket Capital,42,13
One Planet Group,38,10
Osage Venture Partners,122,25
InterWest Partners,427,128
Heavybit,91,21
Aperture Venture Partners,61,25
Broadview Ventures,72,9
Rev1 Ventures,241,26
Weekend Fund,47,6
Peak 6,34,7
LionTree,82,22
ScOp Venture Capital,37,6
Rosecliff Ventures,72,9
Arrington XRP Capital,112,1
WI Harper Group,192,29
Harmony Partners,98,37
SeaX Ventures,32,
Ride Ventures,35,5
Uncommon Denominator,30,8
Vulcan Capital,266,59
Avid Ventures,32,2
at.inc/,41,5
Valia Ventures,50,4
Spacecadet Ventures,79,5
Space Capital,77,6
TitletownTech,34,1
Dreamit Ventures,405,50
ICONIQ Capital,78,11
Martin Ventures,47,7
Noro-Moseley Partners,142,45
J. Hunt Holdings,164,22
Elysium Venture Capital,56,9
Mobius Venture Capital,149,45
January Ventures,41,1
Catalyst Investors,53,14
Illuminate Ventures,63,10
Sugar Capital,39,2
OVO Fund,45,5
Sandbox Industries,92,23
Morgenthaler Ventures,352,106
SeventySix Capital,54,9
Wonder Ventures,71,11
Material Impact,38,1
Amasia,91,10
Madrone Capital Partners,42,8
Commodore Capital,32,25
Lombardstreet Ventures,77,7
Geodesic Capital,65,11
Conversion Capital,63,15
McCarthy Capital,37,5
CapitalX,32,2
Vela Partners,39,3
Red Cedar Ventures,306,10
Blue Cloud Ventures,54,21
Differential Ventures,40,2
Zillionize,155,30
Altimeter Capital,105,28
Atreides Management,50,6
Capria Ventures,62,1
BBQ Capital,65,4
Lightstone Ventures,67,12
Silicon Badia,89,23
Sigma Partners,348,84
The Artemis Fund,34,2
Class 5 Global,36,2
Casa Verde Capital,38,3
Quest Venture Partners,107,22
Signia Venture Partners,117,28
1confirmation,46,1
Center for Innovative Technology,35,5
Verissimo Ventures,60,3
NewSchools Venture Fund,117,34
PROOF,90,20
Gutter Capital,45,4
Worklife,49,4
Bantam Group,167,36
AllegisCyber,123,32
Avalon Ventures,185,54
Innova Memphis,315,9
Golden Section,39,1
DFS Lab,40,3
Telegraph Hill Capital,67,12
NewView Capital,56,7
WP Global Partners,54,19
Colle Capital Partners,77,10
Yes VC,62,3
ff Venture Capital,374,34
Shangbay Capital,39,3
Hinge Capital,68,28
Banana Capital,55,4
PivotNorth Capital,63,11
Animal Capital,35,1
Energy Innovation Capital,48,5
RRE Ventures,601,131
Vida Ventures,58,17
Domain Associates,305,94
SpringRock Ventures,36,1
Eniac Ventures,317,64
Northgate Capital,120,49
Atento Capital,34,
Olive Tree Capital,45,2
Active Capital,77,9
Flucas Ventures,97,3
Irving Investors,50,19
Schooner Capital,66,14
Canvas Ventures,104,15
Shea Ventures,70,25
Hi2 Venture Fund,40,1
JAM Fund,98,5
McKesson Ventures,50,12
Alloy Ventures,183,53
Dundee Venture Capital,90,13
PSL Ventures,53,2
VentureSouth,155,14
SemperVirens Venture Capital,51,1
Recharge Capital,56,9
WestSummit Capital,43,14
Advance Venture Partners,34,8
Green D Ventures,183,40
Flybridge,437,76
LDV Partners,36,4
MBX Capital,43,2
Backend Capital,54,3
Fuel Venture Capital,43,5
Genoa Ventures,35,4
Fika Ventures,97,6
DivcoWest,31,4
Lateral Frontiers,46,1
Acorn Pacific Ventures,30,3
Acre Venture Partners,44,1
Artiman Ventures,105,18
Arrowroot Capital Management,33,10
New Leaf Venture Partners,181,57
Placeholder,67,1
Knollwood Investment Advisory,45,4
Mohr Davidow Ventures,308,85
CAVU Consumer Partners,38,7
Ballast Point Ventures,46,8
Bienville Capital,74,11
Webb Investment Network,156,51
Asset Management Ventures (AMV),155,32
BIP Capital,73,15
Morningside Group,163,33
HLM Venture Partners,134,48
The Yield Lab,56,3
Plum Alley,41,3
Snowflake Ventures,41,4
Lemnos VC,52,9